depth ODP849	d18Oforams-b	d13Cforams-b	depth ODP846	d18Oforams-b	d13Cforams-b	Time (ka)	Benthic d18O (per mil)	Standard error (per mil)
11382	3.18	-0.16				2008	3.248	0.068
11392	3.19	-0.23				2010	2.905	0.064
11401	3.15	-0.18				2013	2.993	0.086
11409	3.12	-0.13				2015	3.172	0.079
11418	3.14	-0.41				2018	2.897	0.07
11426	3.05	-0.08				2020	2.929	0.07
11442	3.26	-0.02				2023	2.823	0.08
11451	3.21	0				2025	2.595	0.074
11464	2.81	0.04				2028	2.803	0.069
11487	2.92	-0.06				2030	2.703	0.081
11500	3.36	-0.04				2033	2.719	0.064
11513	3.42	-0.12				2035	2.922	0.054
11533	3.09	0.01				2038	2.99	0.067
11548	3.16	-0.04				2040	3.03	0.064
11562	3.26	-0.06				2043	2.982	0.069
11578	2.94	0.09				2045	3.277	0.072
11591	3.12	-0.04				2048	3.137	0.074
11606	3.08	0				2050	3.068	0.084
11626	3.1	0.12				2053	2.978	0.094
11644	2.99	-0.04				2055	2.965	0.057
11657	3.21	-0.14				2058	3.082	0.078
11670	2.97	-0.26				2060	3.096	0.081
11686	3.02	-0.3				2063	3.24	0.049
11701	3.14	-0.27				2065	3.541	0.069
11716	3.05	-0.04				2068	3.535	0.064
11731	3.04	-0.22				2070	3.568	0.07
11746	2.98	-0.33				2073	3.644	0.045
11761	3.17	-0.04				2075	3.516	0.062
11776	3.11	-0.12				2078	3.512	0.045
11791	3.11	-0.27				2080	3.322	0.06
11806	3.16	-0.27				2083	3.353	0.092
11821	3.35	-0.31				2085	3.21	0.072
11835	3.31	-0.24				2088	3.242	0.084
11866	3.08	-0.01				2090	3.059	0.073
11881	3.1	-0.08				2093	2.99	0.063
11896	3.18	0.09				2095	2.852	0.067
11911	2.98	-0.03				2098	2.818	0.074
11926	2.67	0.06				2100	2.795	0.098
11941	3	-0.1				2103	2.911	0.069
11956	2.91	-0.09				2105	3.019	0.066
11971	3.12	-0.26				2108	2.992	0.075
11986	3.1	-0.15				2110	2.874	0.062
12001	2.73	0				2113	2.863	0.057
12016	2.93	-0.18				2115	2.864	0.102
12032	3.03	-0.25				2118	3.081	0.079
12046	3.05	-0.18				2120	3.042	0.098
12061	2.73	-0.13				2123	3.037	0.077
12076	3	0.01				2125	2.86	0.097
12091	3.2	-0.02				2128	2.832	0.092
12106	2.82	0.02				2130	2.677	0.086
12122	3.11	-0.17				2133	2.647	0.068
12136	3.11	-0.35				2135	2.653	0.121
12151	3.09	-0.17				2138	2.696	0.1
12166	3.04	-0.03				2140	2.59	0.074
12181	3	-0.43				2143	2.804	0.067
12226	2.67	-0.27				2145	2.964	0.069
12241	3.03	-0.41				2148	3.364	0.064
12256	3.16	-0.14				2150	3.515	0.056
12271	3.13	0.04				2153	3.581	0.065
12286	3.08	-0.02				2155	3.594	0.063
12317	3.16	0.06				2158	3.463	0.053
12330	2.93	-0.07				2160	3.508	0.063
12346	2.94	-0.01				2163	3.3	0.065
12751	3.09	-0.07				2165	3.243	0.04
12771	3	0				2168	3.13	0.059
12791	3.18	-0.04				2170	3.054	0.032
12831	3.19	-0.11				2173	3.03	0.065
12851	3.26	-0.37				2175	2.918	0.062
12891	3.26	-0.15				2178	2.856	0.054
12931	3.28	0				2180	2.725	0.076
12951	3.23	-0.09				2183	2.767	0.079
12971	3.19	-0.08				2185	2.781	0.035
13031	3.13	0				2188	2.74	0.087
13051	3.16	-0.07				2190	2.918	0.054
13071	3.28	-0.13				2193	3.039	0.045
13091	2.98	-0.14				2195	3.133	0.066
13111	3.18	-0.08				2198	3.192	0.045
13131	3.52	0.07				2200	3.216	0.072
13171	3.09	-0.05				2203	3.189	0.061
13191	3.09	-0.12				2205	3.101	0.052
13211	3.11	-0.25				2208	2.958	0.061
13231	3.13	-0.27				2210	2.954	0.049
13251	3.18	-0.53				2213	2.822	0.059
13271	3.25	-0.31				2215	2.947	0.057
13281	3.19	0				2218	2.97	0.063
13291	3.59	-0.78				2220	2.93	0.046
13301	3.21	-0.07				2223	2.848	0.043
13309	3.54	-0.74				2225	2.748	0.044
13321	3.24	-0.12				2228	2.775	0.04
13341	3.29	-0.03				2230	2.817	0.062
13361	3.35	-0.17				2233	2.847	0.059
13381	3.04	-0.12				2235	2.919	0.065
13401	3.26	-0.24				2238	3.161	0.046
13421	3.21	-0.34				2240	3.371	0.065
13441	3.25	-0.24				2243	3.234	0.059
13461	3.24	-0.37				2245	3.16	0.063
13481	3.14	-0.14				2248	3.085	0.051
13501	3.27	-0.23				2250	2.971	0.056
13521	3.3	-0.37				2253	2.809	0.093
13541	3.34	-0.28				2255	2.753	0.064
13561	3.36	-0.22				2258	2.681	0.072
13581	3.21	-0.36				2260	2.57	0.076
13601	3.08	-0.22				2263	2.66	0.055
13621	3.11	-0.42				2265	2.811	0.098
13661	3.08	-0.26				2268	2.727	0.117
13701	3.22	-0.09				2270	2.844	0.064
13721	3.04	0.04				2273	2.861	0.049
13761	3.09	0				2275	3.233	0.066
13781	3.03	-0.02				2278	3.161	0.047
13801	3.1	-0.02				2280	3.197	0.042
13821	3.16	-0.12				2283	3.267	0.086
13841	3.16	-0.09				2285	3.157	0.049
13861	3.27	-0.25				2288	3.051	0.078
13881	3.25	-0.21				2290	3.044	0.048
13901	3.23	-0.37				2293	2.818	0.076
13921	3.06	-0.23				2295	2.805	0.064
13961	3.26	-0.11				2298	2.634	0.071
14041	3.19	-0.21				2300	2.644	0.108
14081	3.12	-0.21				2303	2.716	0.065
14101	3.27	-0.14				2305	2.711	0.055
14301	3.21	0.18				2308	2.786	0.083
14321	3.23	0.16				2310	2.967	0.042
14341	3.19	0.13				2313	3.063	0.057
14381	3.07	-0.17				2315	3.099	0.076
14401	3.4	-0.35				2318	3.108	0.07
14421	3.43	-0.16				2320	3.122	0.041
14441	3.28	-0.08				2323	2.958	0.082
14461	3.17	-0.09				2325	2.877	0.038
14481	3.16	-0.07				2328	2.998	0.06
14501	3.07	0.01				2330	3.003	0.074
14521	3.08	-0.15				2333	2.878	0.079
14541	3.06	-0.09				2335	2.753	0.073
14561	3.33	-0.1				2338	2.649	0.061
14581	3.38	0.01				2340	2.563	0.085
14601	3.19	0.12				2343	2.693	0.074
14621	3.09	-0.01				2345	2.727	0.06
14641	3.09	0				2348	2.608	0.071
14661	3.25	-0.21				2350	2.942	0.058
14680	3.37	-0.29				2353	3.082	0.048
14721	3.45	-0.11				2355	3.164	0.053
14741	3.32	-0.07				2358	3.322	0.058
14761	3.37	0.12				2360	3.285	0.034
14781	3.14	-0.09				2363	3.123	0.054
14821	3.21	-0.28				2365	3.227	0.044
14861	3.51	-0.49				2368	2.989	0.068
14881	3.55	-0.48				2370	3.079	0.046
14901	3.24	-0.06				2373	2.989	0.07
14921	3.18	-0.11				2375	2.745	0.074
14941	3.24	-0.05				2378	2.741	0.055
14981	3.21	-0.15				2380	2.73	0.05
15001	3.32	-0.26				2383	2.603	0.095
15021	3.41	-0.34				2385	2.692	0.071
15041	3.42	-0.33				2388	2.842	0.057
15061	3.22	-0.1				2390	2.898	0.083
15081	3.17	-0.14				2393	2.956	0.083
15101	3.19	-0.2				2395	2.767	0.092
15121	3.2	-0.14				2398	2.815	0.067
15141	3.24	-0.19				2400	2.838	0.088
15161	3.23	-0.17				2403	3.026	0.065
15181	3.18	-0.15				2405	3.047	0.067
15201	3.13	-0.05				2408	2.774	0.067
15221	3.12	-0.03				2410	2.645	0.076
						2413	2.735	0.057
						2415	2.728	0.058
						2418	2.692	0.057
						2420	2.714	0.072
						2423	2.895	0.057
						2425	2.849	0.076
						2428	3.021	0.047
						2430	3.29	0.058
						2433	3.526	0.056
						2435	3.455	0.063
						2438	3.497	0.047
						2440	3.369	0.041
						2443	3.355	0.071
						2445	3.314	0.073
						2448	3.269	0.055
						2450	3.09	0.06
						2453	3.047	0.046
						2455	2.814	0.046
						2458	2.746	0.05
						2460	2.75	0.063
						2463	2.566	0.069
						2465	2.611	0.062
						2468	2.667	0.058
						2470	2.681	0.059
						2473	2.79	0.068
						2475	2.93	0.076
						2478	3.056	0.072
						2480	3.064	0.047
						2483	3.324	0.053
						2485	3.348	0.096
						2488	3.518	0.06
						2490	3.191	0.077
						2493	3.011	0.09
						2495	2.984	0.049
						2498	2.791	0.055
						2500	2.542	0.076
						2503	2.707	0.05
						2505	2.84	0.052
						2508	2.775	0.061
						2510	3.01	0.049
						2513	3.121	0.089
						2515	3.246	0.067
						2518	3.478	0.067
						2520	3.487	0.066
						2523	3.424	0.063
						2525	3.485	0.032
						2528	3.393	0.044
						2530	3.247	0.059
						2533	3.286	0.041
						2535	3.093	0.087
						2538	3.1	0.05
						2540	2.994	0.069
						2543	2.713	0.079
						2545	2.633	0.062
						2548	2.542	0.074
						2550	2.575	0.059
						2553	2.638	0.081
						2555	2.794	0.058
						2558	2.747	0.068
						2560	2.729	0.055
						2563	2.743	0.065
						2565	2.986	0.05
						2568	2.89	0.062
						2570	2.834	0.054
						2573	2.831	0.063
						2575	2.774	0.071
						2578	2.677	0.057
						2580	2.595	0.051
						2583	2.62	0.049
						2585	2.524	0.082
						2588	2.629	0.065
						2590	2.791	0.057
						2593	2.809	0.071
						2595	2.834	0.048
						2598	3.104	0.046
						2600	3.261	0.052
						2603	3.22	0.055
						2605	3.172	0.064
						2608	3.207	0.054
						2610	2.982	0.065
						2613	3.003	0.053
						2615	2.804	0.081
						2618	2.812	0.066
						2620	2.633	0.053
						2623	2.596	0.05
						2625	2.672	0.075
						2628	2.623	0.079
						2630	2.585	0.064
						2633	2.804	0.05
						2635	2.808	0.066
						2638	2.843	0.06
						2640	3.016	0.041
						2643	3.082	0.054
						2645	3.203	0.061
						2648	3.046	0.05
						2650	2.872	0.086
						2653	2.767	0.063
						2655	2.711	0.065
						2658	2.496	0.092
						2660	2.587	0.078
						2663	2.413	0.084
						2665	2.611	0.052
						2668	2.598	0.085
						2670	2.548	0.059
						2673	2.557	0.07
						2675	2.578	0.075
						2678	2.724	0.069
						2680	2.729	0.067
						2683	2.898	0.081
						2685	3.042	0.06
						2688	3.113	0.031
						2690	2.968	0.055
						2693	2.892	0.058
						2695	2.97	0.079
						2698	2.927	0.069
						2700	2.974	0.048
						2703	2.838	0.066
						2705	3.146	0.044
						2708	3.115	0.07
						2710	3.06	0.052
						2713	3.116	0.058
						2715	3.225	0.039
						2718	3.156	0.054
						2720	3.161	0.063
						2723	3.128	0.063
						2725	3.02	0.078
						2728	2.97	0.068
						2730	2.831	0.052
						2733	2.746	0.052
						2735	2.632	0.059
						2738	2.484	0.042
						2740	2.536	0.054
						2743	2.397	0.055
						2745	2.511	0.047
						2748	2.447	0.035
						2750	2.495	0.045
						2753	2.57	0.039
						2755	2.549	0.045
						2758	2.522	0.051
						2760	2.629	0.048
						2763	2.602	0.035
						2765	2.598	0.046
						2768	2.514	0.047
						2770	2.487	0.04
						2773	2.64	0.049
						2775	2.674	0.044
						2778	2.586	0.053
						2780	2.536	0.049
						2783	2.518	0.048
						2785	2.548	0.049
						2788	2.599	0.06
						2790	2.57	0.055
						2793	2.623	0.045
						2795	2.775	0.067
						2798	2.756	0.054
						2800	2.858	0.057
						2803	3.096	0.047
						2805	3.144	0.049
						2808	3.086	0.056
						2810	3.011	0.066
						2813	3.02	0.05
						2815	2.993	0.054
						2818	2.812	0.048
						2820	2.742	0.063
						2823	2.615	0.053
						2825	2.507	0.084
						2828	2.475	0.062
						2830	2.52	0.062
						2833	2.468	0.043
						2835	2.529	0.077
						2838	2.628	0.075
						2840	2.696	0.051
						2843	2.78	0.055
						2845	2.736	0.066
						2848	2.86	0.07
						2850	2.76	0.058
						2853	2.783	0.049
						2855	2.799	0.061
						2858	2.691	0.063
						2860	2.553	0.076
						2863	2.608	0.055
						2865	2.731	0.045
						2868	2.669	0.059
						2870	2.661	0.088
						2873	2.589	0.059
						2875	2.586	0.048
						2878	2.832	0.063
						2880	2.836	0.062
						2883	2.812	0.044
						2885	2.859	0.082
						2888	2.823	0.06
						2890	2.846	0.036
						2893	2.7	0.065
						2895	2.649	0.054
						2898	2.502	0.045
						2900	2.582	0.063
						2903	2.575	0.07
						2905	2.677	0.054
						2908	2.639	0.077
						2910	2.633	0.044
						2913	2.66	0.05
						2915	2.851	0.076
						2918	2.767	0.052
						2920	2.87	0.053
						2923	2.859	0.061
						2925	2.863	0.042
						2928	2.686	0.087
						2930	2.788	0.097
						2933	2.873	0.071
						2935	2.674	0.06
						2938	2.538	0.057
						2940	2.454	0.076
						2943	2.311	0.068
						2945	2.307	0.041
						2948	2.421	0.057
						2950	2.294	0.055
						2953	2.277	0.072
						2955	2.515	0.054
						2958	2.589	0.061
						2960	2.439	0.082
						2963	2.545	0.064
						2965	2.522	0.05
						2968	2.711	0.06
						2970	2.664	0.057
						2973	2.688	0.041
						2975	2.842	0.058
						2978	2.787	0.044
						2980	2.809	0.065
						2983	2.624	0.062
						2985	2.431	0.058
						2988	2.511	0.062
						2990	2.537	0.072
						2993	2.568	0.044
						2995	2.561	0.066
						2998	2.582	0.062
						3000	2.719	0.003
						3005	2.801	0.036
						3010	2.818	0.038
						3015	2.875	0.039
						3020	2.851	0.042
						3025	2.681	0.041
						3030	2.489	0.035
						3035	2.45	0.055
						3040	2.588	0.051
						3045	2.672	0.04
						3050	2.688	0.056
						3055	2.502	0.036
						3060	2.309	0.063
						3065	2.407	0.059
						3070	2.447	0.056
						3075	2.462	0.043
						3080	2.446	0.05
						3085	2.303	0.059
						3090	2.542	0.049
						3095	2.542	0.052
						3100	2.442	0.048
						3105	2.422	0.063
						3110	2.486	0.039
						3115	2.583	0.037
						3120	2.62	0.034
						3125	2.697	0.04
						3130	2.742	0.033
						3135	2.812	0.047
						3140	2.736	0.045
						3145	2.707	0.051
						3150	2.518	0.045
						3155	2.31	0.043
						3160	2.367	0.048
						3165	2.4	0.048
						3170	2.5	0.042
						3175	2.554	0.039
						3180	2.517	0.047
						3185	2.439	0.049
						3190	2.31	0.051
						3195	2.449	0.043
						3200	2.377	0.07
						3205	2.361	0.053
						3210	2.378	0.045
						3215	2.561	0.035
						3220	2.486	0.044
						3225	2.566	0.036
						3230	2.485	0.033
						3235	2.602	0.047
						3240	2.399	0.047
						3245	2.398	0.057
						3250	2.392	0.039
						3255	2.526	0.041
						3260	2.516	0.04
						3265	2.676	0.047
						3270	2.635	0.05
						3275	2.695	0.052
						3280	2.615	0.038
						3285	2.759	0.038
						3290	3.014	0.043
						3295	3.1	0.04
						3300	3.067	0.033
						3305	2.779	0.041
						3310	2.729	0.047
						3315	2.583	0.045
						3320	2.464	0.039
						3325	2.565	0.047
						3330	2.569	0.053
						3335	2.61	0.042
						3340	2.766	0.044
						3345	2.667	0.042
						3350	2.54	0.042
						3355	2.58	0.047
						3360	2.535	0.042
						3365	2.469	0.03
						3370	2.513	0.043
						3375	2.706	0.033
						3380	2.706	0.033
						3385	2.606	0.04
						3390	2.517	0.049
						3395	2.439	0.044
						3400	2.49	0.044
						3405	2.503	0.039
						3410	2.443	0.047
						3415	2.345	0.05
						3420	2.46	0.053
						3425	2.557	0.05
						3430	2.474	0.042
						3435	2.258	0.041
						3440	2.258	0.028
						3445	2.405	0.033
						3450	2.484	0.028
						3455	2.394	0.042
						3460	2.435	0.057
						3465	2.587	0.049
						3470	2.446	0.042
						3475	2.28	0.044
						3480	2.245	0.047
						3485	2.36	0.044
						3490	2.343	0.035
						3495	2.418	0.044
						3500	2.292	0.048
						3505	2.313	0.045
						3510	2.331	0.06
						3515	2.398	0.052
						3520	2.466	0.037
						3525	2.541	0.049
						3530	2.5	0.04
						3535	2.365	0.044
						3540	2.282	0.041
						3545	2.366	0.032
						3550	2.468	0.043
						3555	2.482	0.034
						3560	2.497	0.031
						3565	2.415	0.044
						3570	2.249	0.042
						3575	2.302	0.039
						3580	2.543	0.031
						3585	2.516	0.027
						3590	2.51	0.049
						3595	2.348	0.058
						3600	2.358	0.04
						3605	2.452	0.045
						3610	2.292	0.04
						3615	2.397	0.037
						3620	2.559	0.048
						3625	2.687	0.037
						3630	2.769	0.038
						3635	2.648	0.041
						3640	2.405	0.047
						3645	2.344	0.043
						3650	2.318	0.03
						3655	2.502	0.042
						3660	2.538	0.045
						3665	2.762	0.034
						3670	2.807	0.029
						3675	2.573	0.039
						3680	2.408	0.033
						3685	2.339	0.039
						3690	2.281	0.04
						3695	2.376	0.035
						3700	2.412	0.05
						3705	2.461	0.04
						3710	2.645	0.048
						3715	2.654	0.043
						3720	2.333	0.039
						3725	2.191	0.064
						3730	2.356	0.043
						3735	2.293	0.04
						3740	2.324	0.039
						3745	2.559	0.046
						3750	2.442	0.049
						3755	2.337	0.046
						3760	2.29	0.035
						3765	2.247	0.028
						3770	2.448	0.028
						3775	2.437	0.043
						3780	2.411	0.043
						3785	2.333	0.04
						3790	2.417	0.059
						3795	2.57	0.072
						3800	2.362	0.055
						3805	2.462	0.046
						3810	2.405	0.042
						3815	2.363	0.056
						3820	2.351	0.051
						3825	2.584	0.038
						3830	2.621	0.038
						3835	2.413	0.038
						3840	2.217	0.039
						3845	2.236	0.049
						3850	2.265	0.05
						3855	2.253	0.051
						3860	2.249	0.039
						3865	2.528	0.048
						3870	2.515	0.046
						3875	2.607	0.042
						3880	2.368	0.063
						3885	2.314	0.043
						3890	2.25	0.041
						3895	2.418	0.036
						3900	2.285	0.035
						3905	2.284	0.029
						3910	2.229	0.032
						3915	2.428	0.042
						3920	2.441	0.034
						3925	2.266	0.035
						3930	2.251	0.04
						3935	2.191	0.046
						3940	2.327	0.053
						3945	2.396	0.034
						3950	2.376	0.04
						3955	2.262	0.055
						3960	2.25	0.048
						3965	2.301	0.042
						3970	2.366	0.045
						3975	2.368	0.055
						3980	2.415	0.049
						3985	2.418	0.075
						3990	2.602	0.058
						3995	2.656	0.038
						4000	2.592	0.046
						4005	2.522	0.059
						4010	2.324	0.055
						4015	2.309	0.047
						4020	2.427	0.047
						4025	2.378	0.038
						4030	2.475	0.038
						4035	2.529	0.052
						4040	2.563	0.051
						4045	2.525	0.043
						4050	2.42	0.043
						4055	2.417	0.055
						4060	2.458	0.043
						4065	2.372	0.042
						4070	2.444	0.052
						4075	2.384	0.068
						4080	2.375	0.043
						4085	2.392	0.057
						4090	2.432	0.04
						4095	2.434	0.049
						4100	2.23	0.05
						4105	2.243	0.053
						4110	2.234	0.038
						4115	2.274	0.042
						4120	2.302	0.044
						4125	2.356	0.05
						4130	2.182	0.033
						4135	2.337	0.041
						4140	2.278	0.039
						4145	2.338	0.04
						4150	2.472	0.048
						4155	2.524	0.059
						4160	2.472	0.053
						4165	2.36	0.053
						4170	2.423	0.087
						4175	2.354	0.047
						4180	2.233	0.085
						4185	2.215	0.044
						4190	2.307	0.058
						4195	2.401	0.053
						4200	2.466	0.038
						4205	2.402	0.059
						4210	2.359	0.04
						4215	2.206	0.038
						4220	2.358	0.037
						4225	2.344	0.048
						4230	2.273	0.042
						4235	2.391	0.037
						4240	2.391	0.043
						4245	2.424	0.043
						4250	2.353	0.03
						4255	2.457	0.075
						4260	2.312	0.061
						4265	2.318	0.044
						4270	2.239	0.093
						4275	2.421	0.074
						4280	2.256	0.04
						4285	2.308	0.056
						4290	2.376	0.042
						4295	2.39	0.048
						4300	2.395	0.047
						4305	2.236	0.044
						4310	2.22	0.047
						4315	2.215	0.047
						4320	2.204	0.057
						4325	2.187	0.048
						4330	2.361	0.047
						4335	2.213	0.063
						4340	2.089	0.054
						4345	2.232	0.039
						4350	2.201	0.076
						4355	2.249	0.074
						4360	2.386	0.039
						4365	2.434	0.047
						4370	2.315	0.045
						4375	2.254	0.056
						4380	2.341	0.037
						4385	2.117	0.063
						4390	2.19	0.061
						4395	2.296	0.063
						4400	2.345	0.035
						4405	2.444	0.032
						4410	2.385	0.048
						4415	2.487	0.038
						4420	2.332	0.052
						4425	2.301	0.039
						4430	2.241	0.049
						4435	2.278	0.06
						4440	2.238	0.047
						4445	2.263	0.05
						4450	2.387	0.053
						4455	2.309	0.051
						4460	2.213	0.044
						4465	2.208	0.051
						4470	2.229	0.058
						4475	2.22	0.058
						4480	2.314	0.046
						4485	2.277	0.043
						4490	2.46	0.065
						4495	2.461	0.055
						4500	2.48	0.063
						4505	2.426	0.059
						4510	2.287	0.045
						4515	2.352	0.067
						4520	2.146	0.071
						4525	2.372	0.052
						4530	2.404	0.053
						4535	2.454	0.047
						4540	2.229	0.042
						4545	2.172	0.077
						4550	2.242	0.049
						4555	2.263	0.043
						4560	2.38	0.052
						4565	2.291	0.05
						4570	2.34	0.043
						4575	2.524	0.049
						4580	2.47	0.04
						4585	2.462	0.043
						4590	2.357	0.042
						4595	2.363	0.033
						4600	2.34	0.043
						4605	2.446	0.035
						4610	2.505	0.06
						4615	2.411	0.051
						4620	2.404	0.053
						4625	2.37	0.04
						4630	2.379	0.055
						4635	2.309	0.054
						4640	2.307	0.061
						4645	2.295	0.051
						4650	2.449	0.052
						4655	2.486	0.06
						4660	2.244	0.05
						4665	2.333	0.06
						4670	2.219	0.05
						4675	2.28	0.056
						4680	2.221	0.064
						4685	2.416	0.07
						4690	2.533	0.047
						4695	2.443	0.04
						4700	2.487	0.041
						4705	2.327	0.054
						4710	2.283	0.061
						4715	2.394	0.04
						4720	2.305	0.059
						4725	2.492	0.039
						4730	2.499	0.048
						4735	2.45	0.039
						4740	2.266	0.038
						4745	2.323	0.038
						4750	2.399	0.042
						4755	2.219	0.066
						4760	2.282	0.047
						4765	2.359	0.033
						4770	2.563	0.056
						4775	2.528	0.055
						4780	2.363	0.043
						4785	2.345	0.051
						4790	2.287	0.051
						4795	2.317	0.048
						4800	2.354	0.033
						4805	2.354	0.075
						4810	2.509	0.045
						4815	2.513	0.041
						4820	2.393	0.049
						4825	2.19	0.05
						4830	2.211	0.061
						4835	2.316	0.063
						4840	2.399	0.059
						4845	2.597	0.046
						4850	2.665	0.047
						4855	2.44	0.059
						4860	2.423	0.052
						4865	2.338	0.047
						4870	2.236	0.062
						4875	2.221	0.046
						4880	2.269	0.059
						4885	2.537	0.058
						4890	2.628	0.096
						4895	2.659	0.072
						4900	2.513	0.059
						4905	2.389	0.05
						4910	2.214	0.064
						4915	2.211	0.042
						4920	2.319	0.045
						4925	2.131	0.069
						4930	2.273	0.043
						4935	2.392	0.062
						4940	2.43	0.05
						4945	2.386	0.074
						4950	2.407	0.063
						4955	2.199	0.12
						4960	2.219	0.068
						4965	2.268	0.076
						4970	2.288	0.087
						4975	2.305	0.055
						4980	2.526	0.064
						4985	2.309	0.065
						4990	2.101	0.05
						4995	2.207	0.046
						5000	2.154	0.041
						5005	2.311	0.06
						5010	2.303	0.057
						5015	2.227	0.07
						5020	2.101	0.067
						5025	2.102	0.096
						5030	2.13	0.064
						5035	2.15	0.076
						5040	2.418	0.058
						5045	2.534	0.052
						5050	2.4	0.065
						5055	2.419	0.082
						5060	2.208	0.064
						5065	2.257	0.097
						5070	2.288	0.081
						5075	2.048	0.066
						5080	2.136	0.093
						5085	2.168	0.072
						5090	2.02	0.06
						5095	2.243	0.064
						5100	2.363	0.108
						5105	2.404	0.05
						5110	2.277	0.038
						5115	2.224	0.066
						5120	2.157	0.084
						5125	2.08	0.02
						5130	2.038	0.056
						5135	2.013	0.075
						5140	2.303	0.07
						5145	2.257	0.052
						5150	2.252	0.092
						5155	2.271	0.068
						5160	2.175	0.125
						5165	2.306	0.05
						5170	2.381	0.09
						5175	2.57	0.098
						5180	2.469	0.078
						5185	2.38	0.08
						5190	2.358	0.065
						5195	2.184	0.105
						5200	2.219	0.083
						5205	2.36	0.11
						5210	2.32	0.064
						5215	2.226	0.06
						5220	2.201	0.088
						5225	2.293	0.072
						5230	2.335	0.053
						5235	2.129	0.075
						5240	2.284	0.071
						5245	2.333	0.091
						5250	2.416	0.089
						5255	2.448	0.119
						5260	2.368	0.069
						5265	2.336	0.082
						5270	2.162	0.071
						5275	2.254	0.105
						5280	2.248	0.082
						5285	2.163	0.057
						5290	2.278	0.032
						5295	2.333	0.057
						5300	2.268	0.064
						5305	2.154	0.037
						5310	2.15	0.093
						5315	2.202	0.073
						5320	2.265	0.089
						5325	2.051	0.051
