. depth . depth																						
Depth (m) EDC	Ice age (a 1950) AICC		depth m EDC	Gas age (a 1950) AICC		EDC depth[m]	EDC CH4 [ppbv]		Gas age (a 1950) AICC	depth/gas age m EDC		depth m EDC (ref)	CO2compositBereiter		Ice age (a 1950) AICC	Depth/Ice age (m) EDC		Depth(m) EDC	EDC deut cor		Depth (m) EDC (ref)	nssCA800ka
130.35	3514.74		188.1	3290.14		193.55	589		3290.14	188.1		57.34620253	286.33		3514.74	130.35		50.05	-398.5		1887.544445	132.769
132	3570.59		189.75	3433.73		195.73	573		3433.73	189.75		57.47848101	287.99		3570.59	132		50.6	-398.7		1898.140086	207.527
133.65	3627.34		191.4	3508.7		197.83	570		3508.7	191.4		57.91360759	289.54		3627.34	133.65		51.15	-401.8		1908.614356	153.58
135.3	3682.58		193.05	3528.9		198.2	560		3528.9	193.05		58.15031646	287.99		3682.58	135.3		51.7	-395.2		1918.160256	306.648
136.95	3737.02		194.7	3607.11		200.13	575		3607.11	194.7		58.49493671	285.05		3737.02	136.95		52.25	-390.1		1927.497707	154.181
138.6	3790.94		196.35	3645.63		200.8	596		3645.63	196.35		59.40298913	286.65		3790.94	138.6		52.8	-393.9		1937.993069	120.221
140.25	3848.2		198	3687.07		201.03	578		3687.07	198		59.74673913	285.35		3848.2	140.25		53.35	-400.6		1947.935	141.554
141.9	3906.34		199.65	3707.18		203.33	578		3707.18	199.65		60.09048913	287.17		3906.34	141.9		53.9	-400.9		1958.109091	228.034
143.55	3964.41		201.3	3808.08		203.47	581		3808.08	201.3		60.98423913	286.63		3964.41	143.55		54.45	-391.7		1967.390574	294.937
145.2	4023.05		202.95	3818.92		205.63	576		3818.92	202.95		61.80170843	283.16		4023.05	145.2		55	-399.3		1976.365888	155.594
146.85	4079.72		204.6	3877.45		208.83	574		3877.45	204.6		62.51583144	285.57		4079.72	146.85		55.55	-386.7		1986.865517	145.418
148.5	4136.81		206.25	3971.81		209.25	578		3971.81	206.25		62.89769585	288.05		4136.81	148.5		56.1	-401.5		1995.586154	238.472
150.15	4194.7		207.9	4021.55		211.14	575		4021.55	207.9		63.88617512	285.47		4194.7	150.15		56.65	-398.1		2003.943609	229.186
151.8	4252.23		209.55	4110.28		211.81	549		4110.28	209.55		63.99262673	288.79		4252.23	151.8		57.2	-390.4		2012.032331	193.999
153.45	4308.32		211.2	4175.61		212.03	568		4175.61	211.2		64.2093318	284		4308.32	153.45		57.75	-389.8		2020.776522	53.365
155.1	4366.42		212.85	4222.23		214.33	576		4222.23	212.85		65.20493952	286.84		4366.42	155.1		58.3	-390.7		2031.207076	59.075
